place_name,category,district,latitude,longitude,short_description,image_url,popularity_score,maintenance_score,condition_label,safety_score,crowd_level,senior_friendly,child_friendly,tags,best_visit_time,google_search_query,reviews,sentiment_score,child_score,senior_score,safety_norm,condition_score,crowd_score,sentiment_norm,combined_text,relevance_score
Iskcon Temple,temple,Bengaluru,13.0099,77.5511,Modern Krishna temple known for architecture and cultural programs.,https://source.unsplash.com/800x500/?Iskcon%20Bangalore,88,75,Good,92,High,9,9,"temple,ISKCON",Year-round,Iskcon Temple Bangalore,Very clean|Divine|Organised|Crowded|Good prasadam,0.9,1.0,1.0,1.1,0.8,0.2,0.9,"temple,ISKCON Very clean|Divine|Organised|Crowded|Good prasadam Modern Krishna temple known for architecture and cultural programs. temple Bengaluru",0.8900000000000002
Gaganachukki Falls,waterfall,Mandya,12.282,76.557,Part of Shivanasamudra twin falls; powerful cascades during monsoon.,https://source.unsplash.com/800x500/?Gaganachukki,79,63,Moderate,72,High,6,7,"waterfall,cauvery",Jun-Sep,Gaganachukki Falls,Strong flow|Slippery|Spectacular|Great for photos|Crowded,0.78,0.7777777777777778,0.6666666666666666,0.1,0.5,0.2,0.78,"waterfall,cauvery Strong flow|Slippery|Spectacular|Great for photos|Crowded Part of Shivanasamudra twin falls; powerful cascades during monsoon. waterfall Mandya",0.3776666666666667
Balmuri Falls,nature,Mysuru,12.422,76.541,"Man-made check dam popular for photos, water play and film shoots.",https://source.unsplash.com/800x500/?Balmuri,75,58,Moderate,70,High,8,8,"falls,mysore",Oct-Mar,Balmuri Falls,Fun spot|Crowded|Good for families|Shallow water|Hot afternoons,0.77,0.8888888888888888,0.8888888888888888,0.0,0.5,0.2,0.77,"falls,mysore Fun spot|Crowded|Good for families|Shallow water|Hot afternoons Man-made check dam popular for photos, water play and film shoots. nature Mysuru",0.3434444444444445
Chunchi Falls,waterfall,Ramanagara,12.552,77.45,Rocky waterfall surrounded by forested landscape.,https://source.unsplash.com/800x500/?Chunchi%20Falls,72,55,Moderate,68,Low,6,7,"waterfall,rocky",Jun-Sep,Chunchi Falls,Scenic|Slippery rocks|Remote|Good photos|Not commercial,0.71,0.7777777777777778,0.6666666666666666,-0.1,0.5,1.0,0.71,"waterfall,rocky Scenic|Slippery rocks|Remote|Good photos|Not commercial Rocky waterfall surrounded by forested landscape. waterfall Ramanagara",0.3636666666666666
Antharsanthe - Kabini Backwaters,wildlife,Mysuru,12.034,76.365,"Backwater area famous for elephants, tigers and boat safaris.",https://source.unsplash.com/800x500/?Kabini,85,70,Good,82,Medium,7,7,"kabini,wildlife",Oct-May,Kabini Backwaters,Saw wildlife|Great safari|Expensive|Beautiful|Good guides,0.83,0.7777777777777778,0.7777777777777778,0.6,0.8,0.5,0.83,"kabini,wildlife Saw wildlife|Great safari|Expensive|Beautiful|Good guides Backwater area famous for elephants, tigers and boat safaris. wildlife Mysuru",0.6948888888888889
Gavi Gangadhareshwara Temple,temple,Bengaluru,12.9498,77.5436,Rock-cut temple famous for sun-ray alignment phenomenon.,https://source.unsplash.com/800x500/?Gavi%20Temple,76,72,Good,84,High,7,6,"temple,rockcut",Jan-only,Gavi Gangadhareshwara Temple,Amazing sun phenomenon|Crowded|Ancient|Good experience|Unique place,0.82,0.6666666666666666,0.7777777777777778,0.7,0.8,0.2,0.82,"temple,rockcut Amazing sun phenomenon|Crowded|Ancient|Good experience|Unique place Rock-cut temple famous for sun-ray alignment phenomenon. temple Bengaluru",0.6995555555555556
Hampi Lotus Mahal,heritage,Vijayanagara,15.3187,76.4652,Elegant Indo-Islamic pavilion inside Hampi's Zenana enclosure.,https://source.unsplash.com/800x500/?Lotus%20Mahal,82,68,Good,82,Medium,6,6,"lotus,heritage",Oct-Feb,Hampi Lotus Mahal,Beautiful structure|Nice gardens|Historic|Great photos|Calm,0.83,0.6666666666666666,0.6666666666666666,0.6,0.8,0.5,0.83,"lotus,heritage Beautiful structure|Nice gardens|Historic|Great photos|Calm Elegant Indo-Islamic pavilion inside Hampi's Zenana enclosure. heritage Vijayanagara",0.6893333333333334
Matanga Hill,hill_station,Hampi,15.33,76.4719,Best sunrise viewpoint in Hampi; moderate trek.,https://source.unsplash.com/800x500/?Matanga%20Hill,84,60,Moderate,70,Medium,5,6,"hill,trek,Hampi",Oct-Feb,Matanga Hill,Awesome sunrise|Trek challenging|Hot|Best morning|Great scenery,0.8,0.6666666666666666,0.5555555555555556,0.0,0.5,0.5,0.8,"hill,trek,Hampi Awesome sunrise|Trek challenging|Hot|Best morning|Great scenery Best sunrise viewpoint in Hampi; moderate trek. hill_station Hampi",0.36611111111111116
Unakal Lake,lake,Hubballi,15.3645,75.1112,"Urban lake with boating, walking paths and Buddha statue.",https://source.unsplash.com/800x500/?Unakal%20Lake,72,65,Good,74,Medium,8,8,"lake,hubli",Oct-Mar,Unakal Lake,Clean|Nice boating|Evening place|Crowded weekends|Peaceful,0.76,0.8888888888888888,0.8888888888888888,0.2,0.8,0.5,0.76,"lake,hubli Clean|Nice boating|Evening place|Crowded weekends|Peaceful Urban lake with boating, walking paths and Buddha statue. lake Hubballi",0.5264444444444445
Kokkare Bellur Bird Sanctuary,wildlife,Mandya,12.521,77.003,Village sanctuary known for painted storks and pelicans nesting near homes.,https://source.unsplash.com/800x500/?Bird%20Sanctuary,70,62,Good,78,Low,8,7,"bird,wetland",Dec-Mar,Kokkare Bellur Bird Sanctuary,Great birdwatching|Village charm|Calm place|Seasonal|Good photos,0.74,0.7777777777777778,0.8888888888888888,0.4,0.8,1.0,0.74,"bird,wetland Great birdwatching|Village charm|Calm place|Seasonal|Good photos Village sanctuary known for painted storks and pelicans nesting near homes. wildlife Mandya",0.6491111111111111
Banavasi Madhukeshwara Temple,temple,Uttara Kannada,14.8837,74.8552,Ancient 9th-century temple from Kadamba dynasty.,https://source.unsplash.com/800x500/?Banavasi%20Temple,78,70,Good,82,Low,7,6,"temple,kadamba",Oct-Mar,Banavasi Madhukeshwara Temple,Historic site|Calm|Good sculptures|Less crowded|Peaceful,0.82,0.6666666666666666,0.7777777777777778,0.6,0.8,1.0,0.82,"temple,kadamba Historic site|Calm|Good sculptures|Less crowded|Peaceful Ancient 9th-century temple from Kadamba dynasty. temple Uttara Kannada",0.7395555555555555
Tadiandamol Peak,hill_station,Kodagu,12.2145,75.676,"Second-highest peak of Karnataka, popular trekking destination.",https://source.unsplash.com/800x500/?Tadiandamol,86,65,Moderate,75,Medium,5,6,"trek,peak",Oct-Feb,Tadiandamol Peak,Amazing trek|Steep sections|Scenic|Cool climate|Worth it,0.81,0.6666666666666666,0.5555555555555556,0.25,0.5,0.5,0.81,"trek,peak Amazing trek|Steep sections|Scenic|Cool climate|Worth it Second-highest peak of Karnataka, popular trekking destination. hill_station Kodagu",0.46811111111111114
Pushpagiri Wildlife Sanctuary,wildlife,Kodagu,12.348,75.676,Biodiversity hotspot with dense forests and trekking paths.,https://source.unsplash.com/800x500/?Pushpagiri,77,60,Moderate,72,Low,6,7,"wildlife,forest",Oct-Mar,Pushpagiri Wildlife Sanctuary,Beautiful forests|Good trek|Remote|Quiet|Great for nature lovers,0.75,0.7777777777777778,0.6666666666666666,0.1,0.5,1.0,0.75,"wildlife,forest Beautiful forests|Good trek|Remote|Quiet|Great for nature lovers Biodiversity hotspot with dense forests and trekking paths. wildlife Kodagu",0.45166666666666666
Devarayanadurga,hill_station,Tumakuru,13.3704,77.2047,Forest-covered hill with temples and panoramic viewpoints.,https://source.unsplash.com/800x500/?Devarayanadurga,74,62,Moderate,76,Medium,7,7,"hill,temple",Oct-Mar,Devarayanadurga,Nice drive|Great views|Crowded weekends|Calm top|Pleasant weather,0.77,0.7777777777777778,0.7777777777777778,0.3,0.5,0.5,0.77,"hill,temple Nice drive|Great views|Crowded weekends|Calm top|Pleasant weather Forest-covered hill with temples and panoramic viewpoints. hill_station Tumakuru",0.48788888888888887
Banashankari Temple Badami,temple,Bagalkot,15.913,75.6815,Famous Dravidian temple dedicated to Banashankari Devi.,https://source.unsplash.com/800x500/?Banashankari%20Temple,79,68,Good,85,Medium,7,6,"temple,heritage",Oct-Mar,Banashankari Temple Badami,Spiritual|Cultural fair|Peaceful|Historic|Clean,0.82,0.6666666666666666,0.7777777777777778,0.75,0.8,0.5,0.82,"temple,heritage Spiritual|Cultural fair|Peaceful|Historic|Clean Famous Dravidian temple dedicated to Banashankari Devi. temple Bagalkot",0.7495555555555556
Cottonpet Market (traditional craft),market,Bengaluru,12.959,77.573,Historic craft and textile market with local artisans.,https://source.unsplash.com/800x500/?Bangalore%20market,67,55,Moderate,70,High,7,7,"market,craft",Year-round,Cottonpet Market,Colorful|Crowded|Good bargains|Busy streets|Cultural vibe,0.7,0.7777777777777778,0.7777777777777778,0.0,0.5,0.2,0.7,"market,craft Colorful|Crowded|Good bargains|Busy streets|Cultural vibe Historic craft and textile market with local artisans. market Bengaluru",0.3238888888888889
Gulbarga (Kalaburagi) Fort,fort,Kalaburagi,17.333,76.837,Large medieval fort with Jama Masjid inside.,https://source.unsplash.com/800x500/?Kalaburagi%20Fort,72,63,Moderate,75,Low,6,6,"fort,heritage",Oct-Feb,Gulbarga Fort,Old fort|Huge structure|Nice masjid|Quiet place|Needs more signage,0.73,0.6666666666666666,0.6666666666666666,0.25,0.5,1.0,0.73,"fort,heritage Old fort|Huge structure|Nice masjid|Quiet place|Needs more signage Large medieval fort with Jama Masjid inside. fort Kalaburagi",0.5043333333333333
Sri Manjunatha Temple Dharmasthala,temple,Dakshina Kannada,12.9569,75.3794,Major pilgrimage site on the banks of Netravati river.,https://source.unsplash.com/800x500/?Dharmasthala,88,78,Good,92,High,7,6,"temple,dharmasthala",Oct-Feb,Dharmasthala Temple,Divine|Organized|Very crowded|Clean|Peaceful,0.86,0.6666666666666666,0.7777777777777778,1.1,0.8,0.2,0.86,"temple,dharmasthala Divine|Organized|Very crowded|Clean|Peaceful Major pilgrimage site on the banks of Netravati river. temple Dakshina Kannada",0.8675555555555557
Sharavathi Backwaters,nature,Shivamogga,14.2,74.8,Massive backwaters surrounded by forests and viewpoints.,https://source.unsplash.com/800x500/?Sharavathi,80,68,Good,78,Medium,7,7,"backwater,forest",Oct-Mar,Sharavathi Backwaters,Calm|Nature rich|Great pics|Limited shops|Beautiful,0.8,0.7777777777777778,0.7777777777777778,0.4,0.8,0.5,0.8,"backwater,forest Calm|Nature rich|Great pics|Limited shops|Beautiful Massive backwaters surrounded by forests and viewpoints. nature Shivamogga",0.6088888888888889
Marikamba Temple Sagara,temple,Shivamogga,14.167,75.02,Famous Marikamba Devi temple with vibrant festivals.,https://source.unsplash.com/800x500/?Sagara%20Temple,76,70,Good,84,High,7,6,"temple,festival",Oct-Feb,Marikamba Temple Sagara,Divine|Festive|Very crowded yearly|Spiritual|Clean,0.8,0.6666666666666666,0.7777777777777778,0.7,0.8,0.2,0.8,"temple,festival Divine|Festive|Very crowded yearly|Spiritual|Clean Famous Marikamba Devi temple with vibrant festivals. temple Shivamogga",0.6955555555555556
Baba Budangiri,hill_station,Chikkamagaluru,13.404,75.783,"Mountain range known for caves, viewpoints and trekking routes.",https://source.unsplash.com/800x500/?Baba%20Budangiri,85,63,Moderate,75,Medium,6,7,"hill,trek,chikkamagalur",Oct-Feb,Baba Budangiri,Great views|Cool climate|Crowded weekends|Nice drive|Cloudy,0.82,0.7777777777777778,0.6666666666666666,0.25,0.5,0.5,0.82,"hill,trek,chikkamagalur Great views|Cool climate|Crowded weekends|Nice drive|Cloudy Mountain range known for caves, viewpoints and trekking routes. hill_station Chikkamagaluru",0.4756666666666666
Hirekolale Lake,lake,Chikkamagaluru,13.39,75.77,"Scenic lake surrounded by hills, great for photos.",https://source.unsplash.com/800x500/?Hirekolale%20Lake,78,67,Good,82,Low,8,8,"lake,chikkamagaluru",Oct-Mar,Hirekolale Lake,Beautiful spot|Peaceful|Good pics|Empty on weekdays|Nature rich,0.8,0.8888888888888888,0.8888888888888888,0.6,0.8,1.0,0.8,"lake,chikkamagaluru Beautiful spot|Peaceful|Good pics|Empty on weekdays|Nature rich Scenic lake surrounded by hills, great for photos. lake Chikkamagaluru",0.7444444444444445
Talacauvery,temple,Kodagu,12.432,75.534,Origin point of river Cauvery with temple and hill views.,https://source.unsplash.com/800x500/?Talacauvery,82,72,Good,88,Medium,7,6,"cauvery,temple",Oct-Feb,Talacauvery Coorg,Clean|Sacred|Steps to climb|Nice views|Well maintained,0.83,0.6666666666666666,0.7777777777777778,0.9,0.8,0.5,0.83,"cauvery,temple Clean|Sacred|Steps to climb|Nice views|Well maintained Origin point of river Cauvery with temple and hill views. temple Kodagu",0.8115555555555557
Sringeri Sharada Peetham,temple,Chikkamagaluru,13.416,75.252,Ancient Advaita matha established by Adi Shankaracharya.,https://source.unsplash.com/800x500/?Sringeri,86,78,Good,90,Medium,8,8,"temple,matha",Oct-Mar,Sringeri Temple,Very spiritual|Calm|Clean|Great river view|Peaceful stay,0.89,0.8888888888888888,0.8888888888888888,1.0,0.8,0.5,0.89,"temple,matha Very spiritual|Calm|Clean|Great river view|Peaceful stay Ancient Advaita matha established by Adi Shankaracharya. temple Chikkamagaluru",0.8724444444444446
Utsav Rock Garden,museum,Shivamogga,14.2144,75.0337,Folk-art museum with life-sized sculptures depicting rural Karnataka.,https://source.unsplash.com/800x500/?Rock%20Garden,74,70,Good,84,Medium,8,8,"museum,sculpture",Oct-Mar,Utsav Rock Garden,Great art|Nice exhibits|Educational|Good photos|Unique place,0.82,0.8888888888888888,0.8888888888888888,0.7,0.8,0.5,0.82,"museum,sculpture Great art|Nice exhibits|Educational|Good photos|Unique place Folk-art museum with life-sized sculptures depicting rural Karnataka. museum Shivamogga",0.7384444444444445
Mahadev Temple Itagi,temple,Koppal,15.353,76.167,11th-century Chalukya temple known for detailed carvings.,https://source.unsplash.com/800x500/?Itagi%20Temple,71,67,Good,80,Low,7,6,"temple,chalukya",Oct-Feb,Mahadev Temple Itagi,Beautiful carvings|Remote|Quiet|Ancient|Great for architecture lovers,0.78,0.6666666666666666,0.7777777777777778,0.5,0.8,1.0,0.78,"temple,chalukya Beautiful carvings|Remote|Quiet|Ancient|Great for architecture lovers 11th-century Chalukya temple known for detailed carvings. temple Koppal",0.6915555555555556
Anshi (Kali) Tiger Reserve,wildlife,Uttara Kannada,14.9,74.45,"Reserved forest with black panthers, tigers and trekking trails.",https://source.unsplash.com/800x500/?Kali%20Tiger%20Reserve,78,65,Moderate,74,Low,6,7,"wildlife,forest",Nov-Apr,Anshi Tiger Reserve,Dense forest|Rare sightings|Calm|Great nature|Remote area,0.77,0.7777777777777778,0.6666666666666666,0.2,0.5,1.0,0.77,"wildlife,forest Dense forest|Rare sightings|Calm|Great nature|Remote area Reserved forest with black panthers, tigers and trekking trails. wildlife Uttara Kannada",0.4956666666666667
Mekedatu,nature,Ramanagara,12.2635,77.4361,Deep gorge where river Kaveri flows through narrow rocks.,https://source.unsplash.com/800x500/?Mekedatu,75,60,Moderate,72,Medium,6,7,"gorge,kaveri",Oct-Feb,Mekedatu Karnataka,Great rock formations|Strong currents|Nice trek|Nature spot|Adventurous,0.76,0.7777777777777778,0.6666666666666666,0.1,0.5,0.5,0.76,"gorge,kaveri Great rock formations|Strong currents|Nice trek|Nature spot|Adventurous Deep gorge where river Kaveri flows through narrow rocks. nature Ramanagara",0.4036666666666667
KRS Backwaters Brindavan Gardens,nature,Mysuru,12.4219,76.5723,Iconic gardens near KRS dam with musical fountains.,https://source.unsplash.com/800x500/?Brindavan%20Gardens,89,78,Good,90,High,8,8,"garden,dam",Oct-Feb,Brindavan Gardens,Beautiful lights|Crowded|Good landscaping|Family spot|Classic tourist place,0.88,0.8888888888888888,0.8888888888888888,1.0,0.8,0.2,0.88,"garden,dam Beautiful lights|Crowded|Good landscaping|Family spot|Classic tourist place Iconic gardens near KRS dam with musical fountains. nature Mysuru",0.8404444444444445
Kapu Lighthouse Beach,beach,Udupi,13.2073,74.7355,Golden sand beach with a historic lighthouse overlooking the Arabian Sea.,https://source.unsplash.com/800x500/?Kapu%20Beach,80,66,Good,82,Medium,7,8,"beach,lighthouse",Oct-Mar,Kapu Lighthouse Beach,Beautiful sunset|Clean|Lighthouse view|Moderate crowd|Must visit,0.82,0.8888888888888888,0.7777777777777778,0.6,0.8,0.5,0.82,"beach,lighthouse Beautiful sunset|Clean|Lighthouse view|Moderate crowd|Must visit Golden sand beach with a historic lighthouse overlooking the Arabian Sea. beach Udupi",0.6962222222222222
Kadri Manjunatha Temple,temple,Mangaluru,12.8963,74.856,Ancient Shiva temple with Buddhist-Jain architectural influences.,https://source.unsplash.com/800x500/?Kadri%20Temple,85,78,Good,88,High,7,6,"temple,mangalore",Oct-Feb,Kadri Manjunatha Temple,Peaceful|Historic|Divine place|Well maintained|Crowded weekends,0.87,0.6666666666666666,0.7777777777777778,0.9,0.8,0.2,0.87,"temple,mangalore Peaceful|Historic|Divine place|Well maintained|Crowded weekends Ancient Shiva temple with Buddhist-Jain architectural influences. temple Mangaluru",0.7895555555555557
Panambur Beach,beach,Mangaluru,12.9582,74.814,One of Karnataka’s safest and cleanest beaches with amenities.,https://source.unsplash.com/800x500/?Panambur%20Beach,88,80,Good,90,High,8,9,"beach,mangalore",Oct-Mar,Panambur Beach,Clean beach|Water sports|Crowded|Good for families|Great vibe,0.9,1.0,0.8888888888888888,1.0,0.8,0.2,0.9,"beach,mangalore Clean beach|Water sports|Crowded|Good for families|Great vibe One of Karnataka’s safest and cleanest beaches with amenities. beach Mangaluru",0.847777777777778
Kudle Beach,beach,Gokarna,14.525,74.3151,"Laid-back beach with cafes, ideal for swimming and sunsets.",https://source.unsplash.com/800x500/?Kudle%20Beach,82,65,Moderate,82,Medium,8,9,"beach,gokarna",Oct-Mar,Kudle Beach,Relaxing|Good food|Soft sand|Moderate crowd|Great view,0.84,1.0,0.8888888888888888,0.6,0.5,0.5,0.84,"beach,gokarna Relaxing|Good food|Soft sand|Moderate crowd|Great view Laid-back beach with cafes, ideal for swimming and sunsets. beach Gokarna",0.6307777777777779
Mirjan Fort,fort,Uttara Kannada,14.485,74.42,Historic laterite fort known for its scenic architecture.,https://source.unsplash.com/800x500/?Mirjan%20Fort,78,72,Good,84,Low,7,7,"fort,heritage",Oct-Mar,Mirjan Fort,Beautiful fort|Green surroundings|Quiet|Nice walk|Good photos,0.82,0.7777777777777778,0.7777777777777778,0.7,0.8,1.0,0.82,"fort,heritage Beautiful fort|Green surroundings|Quiet|Nice walk|Good photos Historic laterite fort known for its scenic architecture. fort Uttara Kannada",0.7828888888888889
Sharavathi Adventure Camp,wildlife,Shivamogga,14.219,74.861,"Backwater eco-resort offering trekking, kayaking and birdwatching.",https://source.unsplash.com/800x500/?Sharavathi,83,70,Good,82,Medium,7,8,"adventure,nature",Oct-Apr,Sharavathi Adventure Camp,Great activities|Nature rich|Good food|Calm|Nice views,0.83,0.8888888888888888,0.7777777777777778,0.6,0.8,0.5,0.83,"adventure,nature Great activities|Nature rich|Good food|Calm|Nice views Backwater eco-resort offering trekking, kayaking and birdwatching. wildlife Shivamogga",0.6982222222222222
Sakleshpur Manjarabad Fort,fort,Hassan,12.9962,75.696,"Star-shaped fort built by Tipu Sultan, known for viewpoints.",https://source.unsplash.com/800x500/?Manjarabad%20Fort,76,62,Moderate,75,Medium,6,6,"fort,tipu",Oct-Mar,Manjarabad Fort,Unique design|Nice views|Steep steps|Crowded weekends|Good visit,0.79,0.6666666666666666,0.6666666666666666,0.25,0.5,0.5,0.79,"fort,tipu Unique design|Nice views|Steep steps|Crowded weekends|Good visit Star-shaped fort built by Tipu Sultan, known for viewpoints. fort Hassan",0.4663333333333333
Banerghatta Biological Park,wildlife,Bengaluru,12.8,77.577,"Large zoo, safari park and butterfly garden near Bengaluru.",https://source.unsplash.com/800x500/?Bannerghatta,88,76,Good,84,High,9,9,"zoo,safari",Year-round,Bannerghatta Biological Park,Good safari|Crowded|Great for kids|Clean|Lots of animals,0.88,1.0,1.0,0.7,0.8,0.2,0.88,"zoo,safari Good safari|Crowded|Great for kids|Clean|Lots of animals Large zoo, safari park and butterfly garden near Bengaluru. wildlife Bengaluru",0.7260000000000001
Harangi Dam,nature,Kodagu,12.472,75.869,Peaceful dam area surrounded by greenery and calm waters.,https://source.unsplash.com/800x500/?Harangi%20Dam,75,66,Good,78,Low,8,8,"dam,coorg",Oct-Mar,Harangi Dam,Quiet|Nice view|Peaceful walk|Limited shops|Good photos,0.8,0.8888888888888888,0.8888888888888888,0.4,0.8,1.0,0.8,"dam,coorg Quiet|Nice view|Peaceful walk|Limited shops|Good photos Peaceful dam area surrounded by greenery and calm waters. nature Kodagu",0.6644444444444444
Dubare Elephant Camp,wildlife,Kodagu,12.343,75.8681,Elephant interaction camp offering bathing and feeding experiences.,https://source.unsplash.com/800x500/?Dubare%20Elephant,90,70,Good,84,High,8,7,"elephant,coorg",Oct-Feb,Dubare Elephant Camp,Great elephants|Fun for kids|Crowded|Good guides|Unique experience,0.89,0.7777777777777778,0.8888888888888888,0.7,0.8,0.2,0.89,"elephant,coorg Great elephants|Fun for kids|Crowded|Good guides|Unique experience Elephant interaction camp offering bathing and feeding experiences. wildlife Kodagu",0.7191111111111111
Abbey Falls (Coorg),waterfall,Kodagu,12.4572,75.704,"Waterfall inside coffee plantations, popular tourist spot.",https://source.unsplash.com/800x500/?Abbey%20Falls,88,68,Moderate,80,High,7,8,"coorg,waterfall",Oct-Feb,Abbey Falls,Scenic|Crowded|Nice walkway|Good photos|Seasonal flow,0.84,0.8888888888888888,0.7777777777777778,0.5,0.5,0.2,0.84,"coorg,waterfall Scenic|Crowded|Nice walkway|Good photos|Seasonal flow Waterfall inside coffee plantations, popular tourist spot. waterfall Kodagu",0.5552222222222222
Kotte Betta Peak,hill_station,Kodagu,12.331,75.653,"One of the highest peaks in Coorg, good trekking routes.",https://source.unsplash.com/800x500/?Kotte%20Betta,78,60,Moderate,75,Medium,6,7,"trek,hill",Oct-Mar,Kotte Betta,Green trails|Scenic|Tiring climb|Good group trek|Peaceful,0.78,0.7777777777777778,0.6666666666666666,0.25,0.5,0.5,0.78,"trek,hill Green trails|Scenic|Tiring climb|Good group trek|Peaceful One of the highest peaks in Coorg, good trekking routes. hill_station Kodagu",0.4676666666666666
Jaladurga Fort,heritage,Raichur,16.198,76.849,Fort located on an island formed by Krishna river.,https://source.unsplash.com/800x500/?Jaladurga%20Fort,70,60,Moderate,72,Low,6,6,"fort,island",Oct-Feb,Jaladurga Fort,Unique island fort|Remote|Great views|Quiet|Needs maintenance,0.72,0.6666666666666666,0.6666666666666666,0.1,0.5,1.0,0.72,"fort,island Unique island fort|Remote|Great views|Quiet|Needs maintenance Fort located on an island formed by Krishna river. heritage Raichur",0.44233333333333336
Gavi Betta (hillside temple),temple,Tumakuru,13.45,76.95,Hilltop temple with panoramic countryside views.,https://source.unsplash.com/800x500/?Gavi%20Betta,68,62,Moderate,75,Low,7,6,"temple,viewpoint",Oct-Mar,Gavi Betta,Good views|Calm|Steep road|Nice temple|Peaceful,0.7,0.6666666666666666,0.7777777777777778,0.25,0.5,1.0,0.7,"temple,viewpoint Good views|Calm|Steep road|Nice temple|Peaceful Hilltop temple with panoramic countryside views. temple Tumakuru",0.5005555555555555
Keladi Rameshwara Temple,temple,Shivamogga,14.244,75.061,Historic temple with Vijayanagara-era architecture.,https://source.unsplash.com/800x500/?Keladi,74,70,Good,82,Low,7,6,"temple,heritage",Oct-Feb,Keladi Rameshwara Temple,Ancient|Clean|Quiet|Nice carvings|Good place,0.8,0.6666666666666666,0.7777777777777778,0.6,0.8,1.0,0.8,"temple,heritage Ancient|Clean|Quiet|Nice carvings|Good place Historic temple with Vijayanagara-era architecture. temple Shivamogga",0.7355555555555556
Gende Hosalli Bird Sanctuary,wildlife,Mandya,12.347,76.67,Riparian bird sanctuary great for nature lovers.,https://source.unsplash.com/800x500/?Mandya%20Bird,62,58,Moderate,70,Low,7,7,"bird,nature",Nov-Mar,Gende Hosalli Sanctuary,Calm|Birds abundant|Simple place|Good morning visit|Photography spot,0.69,0.7777777777777778,0.7777777777777778,0.0,0.5,1.0,0.69,"bird,nature Calm|Birds abundant|Simple place|Good morning visit|Photography spot Riparian bird sanctuary great for nature lovers. wildlife Mandya",0.40188888888888885
Jayanagar 4th Block Market,market,Bengaluru,12.9255,77.6064,"Popular market for food, clothing and street shopping.",https://source.unsplash.com/800x500/?Bangalore%20market,72,65,Good,80,High,8,8,"market,shopping",Year-round,Jayanagar Market,Crowded|Good food|Trendy shops|Affordable|Busy area,0.76,0.8888888888888888,0.8888888888888888,0.5,0.8,0.2,0.76,"market,shopping Crowded|Good food|Trendy shops|Affordable|Busy area Popular market for food, clothing and street shopping. market Bengaluru",0.6164444444444445
Benne Hole Falls,waterfall,Uttara Kannada,14.9814,74.5544,Less-crowded waterfall accessed through lush forests.,https://source.unsplash.com/800x500/?Benne%20Hole%20Falls,75,60,Moderate,72,Low,6,7,"waterfall,forest",Jun-Sep,Benne Hole Falls,Scenic|Remote|Great greenery|Slippery|Good adventure,0.76,0.7777777777777778,0.6666666666666666,0.1,0.5,1.0,0.76,"waterfall,forest Scenic|Remote|Great greenery|Slippery|Good adventure Less-crowded waterfall accessed through lush forests. waterfall Uttara Kannada",0.45366666666666666
Kodachadri Peak,hill_station,Shivamogga,13.8662,74.8415,Beautiful mountain peak popular for trekking and Jeep trails.,https://source.unsplash.com/800x500/?Kodachadri,89,70,Good,80,Medium,5,7,"hill,trek",Oct-Feb,Kodachadri Peak,Amazing trek|Jeep ride thrilling|Great views|Tiring|Worth all effort,0.88,0.7777777777777778,0.5555555555555556,0.5,0.8,0.5,0.88,"hill,trek Amazing trek|Jeep ride thrilling|Great views|Tiring|Worth all effort Beautiful mountain peak popular for trekking and Jeep trails. hill_station Shivamogga",0.6604444444444445
Jogimatti Forest Reserve,wildlife,Chitradurga,14.167,76.413,"Hilly reserve with viewpoints, forest trails and wildlife.",https://source.unsplash.com/800x500/?Jogimatti,70,62,Moderate,76,Low,7,7,"forest,hills",Oct-Mar,Jogimatti Reserve,Nice view|Quiet spot|Fresh air|Simple trails|Ideal morning trip,0.74,0.7777777777777778,0.7777777777777778,0.3,0.5,1.0,0.74,"forest,hills Nice view|Quiet spot|Fresh air|Simple trails|Ideal morning trip Hilly reserve with viewpoints, forest trails and wildlife. wildlife Chitradurga",0.5318888888888889
